HJD	Mag	Band
2459762.42661 	0.292 	V
2459762.43053 	0.286 	V
2459762.43444 	0.278 	V
2459762.43837 	0.252 	V
2459762.44229 	0.207 	V
2459762.44620 	0.172 	V
2459762.45013 	0.142 	V
2459762.45404 	0.099 	V
2459762.45796 	0.058 	V
2459762.46187 	0.030 	V
2459762.46580 	-0.007 	V
2459762.46971 	-0.033 	V
2459762.47782 	-0.072 	V
2459762.48175 	-0.084 	V
2459763.16864 	0.270 	V
2459763.17327 	0.255 	V
2459763.17719 	0.237 	V
2459763.18110 	0.185 	V
2459763.18503 	0.131 	V
2459763.18894 	0.094 	V
2459763.19286 	0.063 	V
2459763.19678 	0.033 	V
2459763.20070 	0.003 	V
2459763.20461 	-0.030 	V
2459763.20854 	-0.055 	V
2459763.21245 	-0.068 	V
2459763.21637 	-0.086 	V
2459763.22028 	-0.110 	V
2459763.22419 	-0.120 	V
2459763.22812 	-0.132 	V
2459763.23203 	-0.145 	V
2459763.23595 	-0.143 	V
2459763.24168 	-0.158 	V
2459763.24560 	-0.162 	V
2459763.24951 	-0.157 	V
2459763.25343 	-0.161 	V
2459763.25734 	-0.173 	V
2459763.26127 	-0.166 	V
2459763.26518 	-0.156 	V
2459763.26909 	-0.141 	V
2459763.27301 	-0.130 	V
2459763.27693 	-0.111 	V
2459763.28085 	-0.101 	V
2459763.28476 	-0.081 	V
2459763.28867 	-0.074 	V
2459763.29260 	-0.049 	V
2459763.29651 	-0.036 	V
2459763.30043 	-0.016 	V
2459763.30434 	0.016 	V
2459763.30826 	0.052 	V
2459763.31218 	0.082 	V
2459763.31609 	0.123 	V
2459763.32002 	0.168 	V
2459763.32393 	0.212 	V
2459763.32784 	0.246 	V
2459763.33176 	0.279 	V
2459763.33974 	0.286 	V
2459763.34365 	0.273 	V
2459763.34757 	0.270 	V
2459763.35149 	0.274 	V
2459763.35541 	0.276 	V
2459763.35932 	0.277 	V
2459763.36323 	0.260 	V
2459763.36716 	0.206 	V
2459763.37108 	0.165 	V
2459763.37499 	0.119 	V
2459763.37890 	0.088 	V
2459763.38283 	0.047 	V
2459763.38674 	0.020 	V
2459763.39066 	-0.017 	V
2459763.39458 	-0.036 	V
2459763.39849 	-0.049 	V
